GeneID,ftype,gene,EC_number,product,locus_tag,function,BRO_1_ANAMMOX,BRO_2_ANAMMOX,BRO_1_SP_ELECTRODE,BRO_2_SP_ELECTRODE,,GeneID
PROKKA_20542,CDS,,,biotin synthase,BROSI_A0895,,69,174,46,80,,PROKKA_20542_CDS___biotin synthase_BROSI_A0895_
PROKKA_20543,CDS,,,ABC-type nitrate/sulfonate/bicarbonate transport system ATPase component,BROSI_A2357,,343,756,148,166,,PROKKA_20543_CDS___ABC-type nitrate/sulfonate/bicarbonate transport system ATPase component_BROSI_A2357_
PROKKA_20544,CDS,cmpB_1,,Bicarbonate transport system permease protein CmpB,,,119,165,62,86,,PROKKA_20544_CDS_cmpB_1__Bicarbonate transport system permease protein CmpB__
PROKKA_20545,CDS,,,pyruvate-formate lyase-activating enzyme,SCALIN_C03_0155,,434,756,214,471,,PROKKA_20545_CDS___pyruvate-formate lyase-activating enzyme_SCALIN_C03_0155_
PROKKA_20546,CDS,,,RNA polymerase sigma-70 factor,BROSI_A0893,,7917,15878,23006,29936,,PROKKA_20546_CDS___RNA polymerase sigma-70 factor_BROSI_A0893_
PROKKA_20547,CDS,,,anti-sigma factor,SCALIN_C10_0077,,5031,8988,3567,4771,,PROKKA_20547_CDS___anti-sigma factor_SCALIN_C10_0077_
PROKKA_20548,CDS,,,cyclase family protein,BROSI_A0891,,719,1225,606,722,,PROKKA_20548_CDS___cyclase family protein_BROSI_A0891_
PROKKA_20549,CDS,,,transmembrane family protein,BROSI_A2109,,363,628,290,507,,PROKKA_20549_CDS___transmembrane family protein_BROSI_A2109_
PROKKA_20550,CDS,,,hypothetical protein,,,7,6,8,20,,PROKKA_20550_CDS___hypothetical protein__
PROKKA_20551,CDS,,,outer membrane receptor protein,BROSI_A2702,,50,63,32,35,,PROKKA_20551_CDS___outer membrane receptor protein_BROSI_A2702_
PROKKA_20552,CDS,,,biopolymer transport protein,BROSI_A2701,,55,101,15,22,,PROKKA_20552_CDS___biopolymer transport protein_BROSI_A2701_
PROKKA_20553,CDS,,,biopolymer transport protein,BROSI_A2700,,30,41,5,6,,PROKKA_20553_CDS___biopolymer transport protein_BROSI_A2700_
PROKKA_20554,CDS,,,periplasmic protein,BROSI_A2699,,24,51,7,13,,PROKKA_20554_CDS___periplasmic protein_BROSI_A2699_
PROKKA_20556,CDS,,,TonB-dependent receptor protein,BROSI_A1672,,35,47,29,56,,PROKKA_20556_CDS___TonB-dependent receptor protein_BROSI_A1672_
PROKKA_20557,CDS,,,"ABC-type Fe3+-hydroxamate transport system, periplasmic component",SCALIN_C35_0037,,30,40,14,19,,"PROKKA_20557_CDS___ABC-type Fe3+-hydroxamate transport system, periplasmic component_SCALIN_C35_0037_"
PROKKA_20558,CDS,,,"ABC-type Fe3+-siderophore transport system, permease component",SCALIN_C35_0038,,29,49,32,52,,"PROKKA_20558_CDS___ABC-type Fe3+-siderophore transport system, permease component_SCALIN_C35_0038_"
PROKKA_20559,CDS,,,ATPase component,SCALIN_C39_0003,ABC-type Mn/Zn transport system,8,17,8,13,,PROKKA_20559_CDS___ATPase component_SCALIN_C39_0003_ABC-type Mn/Zn transport system
PROKKA_20560,CDS,,,periplasmic protein TonB,SCALIN_C35_0044,,30,23,14,14,,PROKKA_20560_CDS___periplasmic protein TonB_SCALIN_C35_0044_
PROKKA_20561,CDS,,,hypothetical protein,,,5,9,12,10,,PROKKA_20561_CDS___hypothetical protein__
PROKKA_20562,CDS,,,hypothetical protein,,,53,68,18,20,,PROKKA_20562_CDS___hypothetical protein__
PROKKA_20563,CDS,,,methyl-accepting chemotaxis protein,SCALIN_C13_0005,,196,376,21,37,,PROKKA_20563_CDS___methyl-accepting chemotaxis protein_SCALIN_C13_0005_
PROKKA_20564,CDS,,,dehydrogenases with different specificities,SCALIN_C17_0161,,334,551,75,101,,PROKKA_20564_CDS___dehydrogenases with different specificities_SCALIN_C17_0161_
PROKKA_20565,CDS,,,hypothetical protein,,,45,68,9,16,,PROKKA_20565_CDS___hypothetical protein__
PROKKA_20566,CDS,,,hypothetical protein,,,234,432,45,67,,PROKKA_20566_CDS___hypothetical protein__
PROKKA_20567,CDS,,,nucleoside diphosphate kinase regulator protein,BROSI_A1093,,500,856,147,187,,PROKKA_20567_CDS___nucleoside diphosphate kinase regulator protein_BROSI_A1093_
PROKKA_20568,CDS,,,pyridoxamine 5'-phosphate oxidase-related FMN-binding protein,BROSI_A3777,,293,411,111,163,,PROKKA_20568_CDS___pyridoxamine 5'-phosphate oxidase-related FMN-binding protein_BROSI_A3777_
PROKKA_20569,CDS,,,hypothetical protein,,,326,570,108,277,,PROKKA_20569_CDS___hypothetical protein__
PROKKA_20570,CDS,,,hypothetical protein,,,189,400,114,126,,PROKKA_20570_CDS___hypothetical protein__
PROKKA_20571,CDS,,,glyoxylase I family protein,BROSI_A3776,,84,103,16,30,,PROKKA_20571_CDS___glyoxylase I family protein_BROSI_A3776_
PROKKA_20572,CDS,,,"2,3-dimethylmalate lyase",SCALIN_C28_0178,,1195,2580,1223,640,,"PROKKA_20572_CDS___2,3-dimethylmalate lyase_SCALIN_C28_0178_"
PROKKA_20573,CDS,ndx1_3,3.6.1.61,Diadenosine hexaphosphate hydrolase,,,138,218,39,51,,PROKKA_20573_CDS_ndx1_3_3.6.1.61_Diadenosine hexaphosphate hydrolase__
PROKKA_20574,CDS,,,hypothetical protein,,,133,216,61,139,,PROKKA_20574_CDS___hypothetical protein__
PROKKA_20575,CDS,,,hypothetical protein,,,130,129,27,90,,PROKKA_20575_CDS___hypothetical protein__
PROKKA_20576,CDS,,,hypothetical protein,,,519,994,218,131,,PROKKA_20576_CDS___hypothetical protein__
PROKKA_20577,CDS,,,hypothetical protein,,,317,477,112,134,,PROKKA_20577_CDS___hypothetical protein__
PROKKA_20578,CDS,,,sensor histidine kinase,BROSI_A1775,,149,199,39,64,,PROKKA_20578_CDS___sensor histidine kinase_BROSI_A1775_
PROKKA_20579,CDS,,,D-beta-D-heptose 1-phosphate adenosyltransferase,BROSI_A1773,,417,771,235,242,,PROKKA_20579_CDS___D-beta-D-heptose 1-phosphate adenosyltransferase_BROSI_A1773_
PROKKA_20580,CDS,,,phosphoheptoseisomerase,BROSI_A1772,,225,459,129,113,,PROKKA_20580_CDS___phosphoheptoseisomerase_BROSI_A1772_
PROKKA_20581,CDS,,,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",BROSI_A1771,,798,1383,181,208,,"PROKKA_20581_CDS___D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase_BROSI_A1771_"
PROKKA_20582,CDS,,,periplasmic divalent cation tolerance protein,BROSI_A2805,,886,1863,409,232,,PROKKA_20582_CDS___periplasmic divalent cation tolerance protein_BROSI_A2805_
PROKKA_20583,CDS,,,hypothetical protein,,,128,179,13,27,,PROKKA_20583_CDS___hypothetical protein__
PROKKA_20584,CDS,,,hypothetical protein,,,45,56,9,12,,PROKKA_20584_CDS___hypothetical protein__
PROKKA_20585,CDS,,,O-linked GlcNAc transferase,BROSI_A2808,,455,828,82,226,,PROKKA_20585_CDS___O-linked GlcNAc transferase_BROSI_A2808_
PROKKA_20586,CDS,,,hypothetical protein,,,103,164,31,66,,PROKKA_20586_CDS___hypothetical protein__
PROKKA_20587,CDS,,,1-acyl-sn-glycerol-3-phosphate acyltransferase,BROSI_A2810,,199,401,69,184,,PROKKA_20587_CDS___1-acyl-sn-glycerol-3-phosphate acyltransferase_BROSI_A2810_
PROKKA_20588,CDS,,,hypothetical protein,,,906,1443,452,751,,PROKKA_20588_CDS___hypothetical protein__
PROKKA_20589,CDS,,,hypothetical protein,,,711,1268,245,291,,PROKKA_20589_CDS___hypothetical protein__
PROKKA_20590,CDS,,,SAM-dependent methyltransferases,BROSI_A3618,,15,24,7,13,,PROKKA_20590_CDS___SAM-dependent methyltransferases_BROSI_A3618_
PROKKA_20591,CDS,,,FAD dependent oxidoreductase,BROSI_A0446,,140,180,31,99,,PROKKA_20591_CDS___FAD dependent oxidoreductase_BROSI_A0446_
PROKKA_20592,CDS,,,hypothetical protein,,,107,158,18,35,,PROKKA_20592_CDS___hypothetical protein__
PROKKA_20593,CDS,,,precorrin-6x reductase,BROSI_A0443,,268,484,84,109,,PROKKA_20593_CDS___precorrin-6x reductase_BROSI_A0443_
PROKKA_20594,CDS,,,putative type III restriction-modification system methylation subunit,BROSI_A3483,,61,104,4,11,,PROKKA_20594_CDS___putative type III restriction-modification system methylation subunit_BROSI_A3483_
PROKKA_20595,CDS,recF_5,,DNA replication and repair protein RecF,,,108,190,27,50,,PROKKA_20595_CDS_recF_5__DNA replication and repair protein RecF__
PROKKA_20596,CDS,,,ATP-dependent DNA helicase PcrA,SCALIN_C17_0154,,173,293,43,69,,PROKKA_20596_CDS___ATP-dependent DNA helicase PcrA_SCALIN_C17_0154_
PROKKA_20597,CDS,,,DNA polymerase beta domain protein region,BROSI_A3379,,21,31,1,8,,PROKKA_20597_CDS___DNA polymerase beta domain protein region_BROSI_A3379_
PROKKA_20598,CDS,,,hypothetical protein,,,9,26,2,8,,PROKKA_20598_CDS___hypothetical protein__
PROKKA_20600,CDS,,,putative type III restriction-modification system Res subunit,BROSI_A3490,,22,41,13,8,,PROKKA_20600_CDS___putative type III restriction-modification system Res subunit_BROSI_A3490_
PROKKA_20601,CDS,,,metallophosphoesterase,BROSI_A3680,,50,66,24,37,,PROKKA_20601_CDS___metallophosphoesterase_BROSI_A3680_
PROKKA_20602,CDS,,,radical SAM domain-containing protein,BROSI_A3681,,93,155,27,50,,PROKKA_20602_CDS___radical SAM domain-containing protein_BROSI_A3681_
PROKKA_20603,CDS,mqnA_3,,periplasmic solute-binding protein,SCALIN_C13_0011,menaquinone synthesis,307,524,59,124,,PROKKA_20603_CDS_mqnA_3__periplasmic solute-binding protein_SCALIN_C13_0011_menaquinone synthesis
PROKKA_20604,CDS,,,hypothetical protein,,,181,424,48,99,,PROKKA_20604_CDS___hypothetical protein__
PROKKA_20605,CDS,,,hypothetical protein,,,338,731,177,111,,PROKKA_20605_CDS___hypothetical protein__
PROKKA_20606,CDS,,,hypothetical protein,,,60,86,26,42,,PROKKA_20606_CDS___hypothetical protein__
PROKKA_20607,CDS,,,ABC-type multidrug transport system ATPase and permease components,BROSI_A2589,,162,269,50,92,,PROKKA_20607_CDS___ABC-type multidrug transport system ATPase and permease components_BROSI_A2589_
PROKKA_20608,CDS,,,hypothetical protein,,,7,7,8,6,,PROKKA_20608_CDS___hypothetical protein__
PROKKA_20609,CDS,,,hypothetical protein,,,13,11,4,7,,PROKKA_20609_CDS___hypothetical protein__
PROKKA_20610,CDS,,,transposase,BROSI_A1186,,36,12,15,6,,PROKKA_20610_CDS___transposase_BROSI_A1186_
PROKKA_20611,CDS,,,hypothetical protein,,,106,149,12,48,,PROKKA_20611_CDS___hypothetical protein__
PROKKA_20612,CDS,,,dehydrogenases,BROSI_A3749,,259,412,513,382,,PROKKA_20612_CDS___dehydrogenases_BROSI_A3749_
PROKKA_20613,CDS,,,hypothetical protein,,,67,119,61,105,,PROKKA_20613_CDS___hypothetical protein__
PROKKA_20614,CDS,,,3-hydroxylacyl-dehydratase,SCALIN_C31_0003,,49,85,32,73,,PROKKA_20614_CDS___3-hydroxylacyl-dehydratase_SCALIN_C31_0003_
PROKKA_20615,CDS,,,Mg-protoporphyrin monomethylester cyclase,BROSI_A2291,,189,416,84,150,,PROKKA_20615_CDS___Mg-protoporphyrin monomethylester cyclase_BROSI_A2291_
PROKKA_20616,CDS,,,glutamyl- and glutaminyl-tRNA synthetase,SCALIN_C22_0203,,65,144,22,32,,PROKKA_20616_CDS___glutamyl- and glutaminyl-tRNA synthetase_SCALIN_C22_0203_
PROKKA_20617,CDS,,,hypothetical protein,,,456,843,151,171,,PROKKA_20617_CDS___hypothetical protein__
PROKKA_20618,CDS,,,CopG family transcriptional regulator nickel-responsive regulator,BROSI_A3584,,243,336,44,67,,PROKKA_20618_CDS___CopG family transcriptional regulator nickel-responsive regulator_BROSI_A3584_
PROKKA_20619,CDS,,,cobalt/nickel transport system permease protein,BROSI_A3585,,504,878,197,191,,PROKKA_20619_CDS___cobalt/nickel transport system permease protein_BROSI_A3585_
PROKKA_20620,CDS,,,hypothetical protein,,,216,393,53,62,,PROKKA_20620_CDS___hypothetical protein__
PROKKA_20621,CDS,,,cobalt ABC transporter permease component,SCALIN_C27_0007,,98,143,15,22,,PROKKA_20621_CDS___cobalt ABC transporter permease component_SCALIN_C27_0007_
PROKKA_20622,CDS,,,cobalt/nickel transport system ATP-binding protein,BROSI_A3588,,105,175,23,44,,PROKKA_20622_CDS___cobalt/nickel transport system ATP-binding protein_BROSI_A3588_
PROKKA_20623,CDS,cas5d_1,3.1.-.-,CRISPR pre-crRNA endoribonuclease Cas5d,,,5,12,8,5,,PROKKA_20623_CDS_cas5d_1_3.1.-.-_CRISPR pre-crRNA endoribonuclease Cas5d__
PROKKA_20624,CDS,,,hypothetical protein,,,23,15,9,25,,PROKKA_20624_CDS___hypothetical protein__
PROKKA_20625,CDS,,,hypothetical protein,,,17,23,2,10,,PROKKA_20625_CDS___hypothetical protein__
PROKKA_20626,CDS,,,hypothetical protein,,,60,66,29,32,,PROKKA_20626_CDS___hypothetical protein__
PROKKA_20627,CDS,,,hypothetical protein,,,182,428,75,43,,PROKKA_20627_CDS___hypothetical protein__
PROKKA_20628,CDS,,,hypothetical protein,,,34,92,14,9,,PROKKA_20628_CDS___hypothetical protein__
PROKKA_20629,CDS,,,hypothetical protein,,,82,108,22,15,,PROKKA_20629_CDS___hypothetical protein__
PROKKA_20630,CDS,,,hypothetical protein,,,24,25,6,3,,PROKKA_20630_CDS___hypothetical protein__
PROKKA_20631,CDS,,,CRISPR-associated Cas1 family protein,BROSI_A0275,,65,102,8,15,,PROKKA_20631_CDS___CRISPR-associated Cas1 family protein_BROSI_A0275_
PROKKA_20632,CDS,,,CRISPR-associated Cas2 family protein,BROSI_A0276,,18,13,11,17,,PROKKA_20632_CDS___CRISPR-associated Cas2 family protein_BROSI_A0276_
PROKKA_20633,CDS,,,hypothetical protein,,,57,99,37,39,,PROKKA_20633_CDS___hypothetical protein__
PROKKA_20634,CDS,,,cation-transporting ATPase,BROSI_A0312,,534,1041,113,127,,PROKKA_20634_CDS___cation-transporting ATPase_BROSI_A0312_
PROKKA_20635,CDS,,,protein-disulfide isomerase,SCALIN_C28_0158,,45,66,10,18,,PROKKA_20635_CDS___protein-disulfide isomerase_SCALIN_C28_0158_
PROKKA_20636,CDS,,,carbonic anhydrase,BROSI_A3848,,77,149,9,31,,PROKKA_20636_CDS___carbonic anhydrase_BROSI_A3848_
PROKKA_20637,CDS,,,hypothetial protein,BROSI_A3891,,2017,3812,554,646,,PROKKA_20637_CDS___hypothetial protein_BROSI_A3891_
PROKKA_20638,CDS,,,twin-arginine translocation pathway signal,BROSI_A1556,,52,41,9,25,,PROKKA_20638_CDS___twin-arginine translocation pathway signal_BROSI_A1556_
PROKKA_20639,CDS,,,ABC transporter ATP-binding protein,BROSI_A3883,,336,577,117,121,,PROKKA_20639_CDS___ABC transporter ATP-binding protein_BROSI_A3883_
PROKKA_20640,CDS,,,Cu(I)Ag(I) efflux system membrane protein,BROSI_A0293,,458,747,168,198,,PROKKA_20640_CDS___Cu(I)Ag(I) efflux system membrane protein_BROSI_A0293_
PROKKA_20641,CDS,,,Cu(I)/Ag(I) efflux system membrane protein,BROSI_A0291,,203,253,50,114,,PROKKA_20641_CDS___Cu(I)/Ag(I) efflux system membrane protein_BROSI_A0291_
PROKKA_20642,CDS,,,heavy metal efflux pump protein,BROSI_A0290,,73,102,37,82,,PROKKA_20642_CDS___heavy metal efflux pump protein_BROSI_A0290_
PROKKA_20643,CDS,,,Zn-dependent protease,BROSI_A0289,protein folding,103,115,28,74,,PROKKA_20643_CDS___Zn-dependent protease_BROSI_A0289_protein folding
PROKKA_20644,CDS,,,methicillinoxacillin resistance regulatory protein,BROSI_A0288,transcriptional repressor,74,113,19,101,,PROKKA_20644_CDS___methicillinoxacillin resistance regulatory protein_BROSI_A0288_transcriptional repressor
PROKKA_20645,CDS,,,nucleoside-diphosphate-sugar epimerases,BROSI_A2756,,459,753,71,95,,PROKKA_20645_CDS___nucleoside-diphosphate-sugar epimerases_BROSI_A2756_
PROKKA_20646,CDS,,,ribosomal protein S9,BROSI_A3831,,369,777,57,56,,PROKKA_20646_CDS___ribosomal protein S9_BROSI_A3831_
PROKKA_20647,CDS,,,ribosomal protein L13,BROSI_A3832,,492,826,42,99,,PROKKA_20647_CDS___ribosomal protein L13_BROSI_A3832_
PROKKA_20648,CDS,,,3R-hydroxymyristoyl ACP dehydrase,BROSI_A3834,,311,531,49,99,,PROKKA_20648_CDS___3R-hydroxymyristoyl ACP dehydrase_BROSI_A3834_
PROKKA_20649,CDS,,,hydrolase,SCALIN_C22_0113,,432,705,127,210,,PROKKA_20649_CDS___hydrolase_SCALIN_C22_0113_
PROKKA_20650,CDS,,,starch phosphorylase,BROSI_A3836,,744,1287,86,234,,PROKKA_20650_CDS___starch phosphorylase_BROSI_A3836_
PROKKA_20651,CDS,,,dihydrolipoamide dehydrogenase,BROSI_A3837,,1396,2416,94,117,,PROKKA_20651_CDS___dihydrolipoamide dehydrogenase_BROSI_A3837_
PROKKA_20652,CDS,,,hypothetical protein,,,243,382,6,9,,PROKKA_20652_CDS___hypothetical protein__
PROKKA_20653,CDS,,,radical SAM domain protein,BROSI_A3839,,922,1636,86,102,,PROKKA_20653_CDS___radical SAM domain protein_BROSI_A3839_
PROKKA_20654,CDS,,,phytoene dehydrogenase,BROSI_A3840,,407,665,21,31,,PROKKA_20654_CDS___phytoene dehydrogenase_BROSI_A3840_
PROKKA_20655,CDS,,,3-oxoacyl-acyl-carrier-protein synthase II,BROSI_A3841,,546,950,51,63,,PROKKA_20655_CDS___3-oxoacyl-acyl-carrier-protein synthase II_BROSI_A3841_
PROKKA_20656,CDS,,,3-oxoacyl-acyl-carrier-protein synthase II,BROSI_A3842,,819,1320,141,238,,PROKKA_20656_CDS___3-oxoacyl-acyl-carrier-protein synthase II_BROSI_A3842_
PROKKA_20657,CDS,,,3R-hydroxymyristoyl ACP dehydrase,BROSI_A3843,,338,525,31,40,,PROKKA_20657_CDS___3R-hydroxymyristoyl ACP dehydrase_BROSI_A3843_
PROKKA_20658,CDS,,,acyl carrierprotein,BROSI_A3844,,239,376,13,21,,PROKKA_20658_CDS___acyl carrierprotein_BROSI_A3844_
PROKKA_20659,CDS,,,hypothetical protein,,,79,123,17,36,,PROKKA_20659_CDS___hypothetical protein__
PROKKA_20660,CDS,,,hypothetical protein,,,206,341,17,43,,PROKKA_20660_CDS___hypothetical protein__
PROKKA_20661,CDS,,,"glycosyl transferase, group 1",SCALIN_C45_0147,,114,151,37,51,,"PROKKA_20661_CDS___glycosyl transferase, group 1_SCALIN_C45_0147_"
PROKKA_20662,CDS,,,asparagine synthetase,SCALIN_C10_0128,,281,499,82,93,,PROKKA_20662_CDS___asparagine synthetase_SCALIN_C10_0128_
PROKKA_20663,CDS,,,hypothetical protein,,,16,33,5,3,,PROKKA_20663_CDS___hypothetical protein__
PROKKA_20664,CDS,,,SAM-dependent methyltransferases,BROSI_A3618,,28,53,9,9,,PROKKA_20664_CDS___SAM-dependent methyltransferases_BROSI_A3618_
PROKKA_20665,CDS,,,glycosyltransferases,BROSI_A0006,,67,104,4,19,,PROKKA_20665_CDS___glycosyltransferases_BROSI_A0006_
PROKKA_20666,CDS,,,Fe-S oxidoreductase,SCALIN_C11_0058,,595,1035,192,274,,PROKKA_20666_CDS___Fe-S oxidoreductase_SCALIN_C11_0058_
PROKKA_20667,CDS,,,hypothetical protein,,,87,183,37,53,,PROKKA_20667_CDS___hypothetical protein__
PROKKA_20668,CDS,,,asparagine synthase,SCALIN_C28_0071,,664,1456,165,211,,PROKKA_20668_CDS___asparagine synthase_SCALIN_C28_0071_
PROKKA_20669,CDS,,,hypothetical protein,,,38,61,3,6,,PROKKA_20669_CDS___hypothetical protein__
PROKKA_20670,CDS,,,hypothetical protein,,,30,48,4,6,,PROKKA_20670_CDS___hypothetical protein__
PROKKA_20671,CDS,,,carbamoyl transferase,SCALIN_C04_0374,,321,541,33,73,,PROKKA_20671_CDS___carbamoyl transferase_SCALIN_C04_0374_
PROKKA_20672,CDS,,,23S rRNA methylase,SCALIN_C43_0022,,363,688,57,74,,PROKKA_20672_CDS___23S rRNA methylase_SCALIN_C43_0022_
PROKKA_20673,CDS,,,hypothetical protein,,,149,254,32,49,,PROKKA_20673_CDS___hypothetical protein__
PROKKA_20674,CDS,,,hypothetical protein,,,28,50,7,5,,PROKKA_20674_CDS___hypothetical protein__
PROKKA_20675,CDS,,,carbamoyl transferase,SCALIN_C04_0374,,573,1129,138,185,,PROKKA_20675_CDS___carbamoyl transferase_SCALIN_C04_0374_
PROKKA_20676,CDS,,,hypothetical protein,,,174,257,41,93,,PROKKA_20676_CDS___hypothetical protein__
PROKKA_20677,CDS,mshB_1,3.5.1.103,1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase,,,103,150,28,63,,PROKKA_20677_CDS_mshB_1_3.5.1.103_1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase__
PROKKA_20678,CDS,,,methylase,SCALIN_C11_0062,ubiquinone/menaquinone biosynthesis,151,279,41,82,,PROKKA_20678_CDS___methylase_SCALIN_C11_0062_ubiquinone/menaquinone biosynthesis
PROKKA_20679,CDS,,,ABC-type polysaccharide/polyol phosphate transport system ATPase component,BROSI_A3903,,171,287,54,85,,PROKKA_20679_CDS___ABC-type polysaccharide/polyol phosphate transport system ATPase component_BROSI_A3903_
PROKKA_20680,CDS,,,lipopolysaccharide transport system permease protein,BROSI_A3904,,118,157,18,47,,PROKKA_20680_CDS___lipopolysaccharide transport system permease protein_BROSI_A3904_
PROKKA_20681,CDS,,,sulfotransferase,BROSI_A1610,,152,185,4,21,,PROKKA_20681_CDS___sulfotransferase_BROSI_A1610_
PROKKA_20682,CDS,,,glucose-1-phosphate thymidylyltransferase,BROSI_A1365,,147,297,45,72,,PROKKA_20682_CDS___glucose-1-phosphate thymidylyltransferase_BROSI_A1365_
PROKKA_20683,CDS,,,"dTDP-D-glucose 4,6-dehydratase",BROSI_A2555,,182,355,81,96,,"PROKKA_20683_CDS___dTDP-D-glucose 4,6-dehydratase_BROSI_A2555_"
PROKKA_20684,CDS,,,Putative polysaccharide biosynthesis protein with aminopeptidase-like domain protein,,,224,355,60,136,,PROKKA_20684_CDS___Putative polysaccharide biosynthesis protein with aminopeptidase-like domain protein__
PROKKA_20685,CDS,,,"dTDP-4-dehydrorhamnose 3,5-epimerase",SCALIN_C46_0005,,128,199,38,69,,"PROKKA_20685_CDS___dTDP-4-dehydrorhamnose 3,5-epimerase_SCALIN_C46_0005_"
PROKKA_20686,CDS,,,SAM-dependent methyltransferases,BROSI_A0003,,330,518,50,230,,PROKKA_20686_CDS___SAM-dependent methyltransferases_BROSI_A0003_
PROKKA_20687,CDS,,,nucleoside-diphosphate-sugar epimerases,BROSI_A0004,,152,213,20,34,,PROKKA_20687_CDS___nucleoside-diphosphate-sugar epimerases_BROSI_A0004_
PROKKA_20688,CDS,,,glucose-1-phosphate cytidylyltransferase,BROSI_A3908,,88,153,21,47,,PROKKA_20688_CDS___glucose-1-phosphate cytidylyltransferase_BROSI_A3908_
PROKKA_20689,CDS,,,protein with FOG domain and PKD repeat,BROSI_A2531,,740,1401,94,175,,PROKKA_20689_CDS___protein with FOG domain and PKD repeat_BROSI_A2531_
PROKKA_213455,CDS,,,nitrate reductase subunit gamma,BROSI_A0945,nitrate dissimilation,9952,21368,6435,3931,,PROKKA_213455_CDS___nitrate reductase subunit gamma_BROSI_A0945_nitrate dissimilation
PROKKA_217626,CDS,,,hypothetical protein,,,40,42,6,5,,PROKKA_217626_CDS___hypothetical protein__
PROKKA_22150,CDS,,,hypothetical protein,,,45,51,10,20,,PROKKA_22150_CDS___hypothetical protein__
PROKKA_22151,CDS,,,hypothetical protein,,,117,131,33,53,,PROKKA_22151_CDS___hypothetical protein__
PROKKA_22152,CDS,,,hypothetical protein,,,38,56,22,18,,PROKKA_22152_CDS___hypothetical protein__
PROKKA_22153,CDS,,,hypothetical protein,,,52,99,15,18,,PROKKA_22153_CDS___hypothetical protein__
PROKKA_22154,CDS,smc_17,,Chromosome partition protein Smc,,,121,171,21,63,,PROKKA_22154_CDS_smc_17__Chromosome partition protein Smc__
PROKKA_22155,CDS,smc_18,,Chromosome partition protein Smc,,,31,56,7,21,,PROKKA_22155_CDS_smc_18__Chromosome partition protein Smc__
PROKKA_22156,CDS,recD2_3,3.6.4.12,ATP-dependent RecD-like DNA helicase,,,170,216,43,100,,PROKKA_22156_CDS_recD2_3_3.6.4.12_ATP-dependent RecD-like DNA helicase__
PROKKA_22157,CDS,,,hypothetical protein,,,138,213,96,121,,PROKKA_22157_CDS___hypothetical protein__
PROKKA_22158,CDS,,,hypothetical protein,,,1548,2720,1201,927,,PROKKA_22158_CDS___hypothetical protein__
PROKKA_22159,CDS,,,L-lactate permease,SCALIN_C14_0095,,77,119,11,33,,PROKKA_22159_CDS___L-lactate permease_SCALIN_C14_0095_
PROKKA_22160,CDS,,,TPR repeat-containing protein,BROSI_A1264,,620,900,707,1745,,PROKKA_22160_CDS___TPR repeat-containing protein_BROSI_A1264_
PROKKA_22161,CDS,,,putative transcriptional regulator protein,BROSI_A1263,,1021,1634,648,1002,,PROKKA_22161_CDS___putative transcriptional regulator protein_BROSI_A1263_
PROKKA_22162,CDS,,,Obg GTP-binding protein,BROSI_A1262,,321,540,127,160,,PROKKA_22162_CDS___Obg GTP-binding protein_BROSI_A1262_
PROKKA_22163,CDS,,,ribosomal protein L27,BROSI_A1261,,121,189,26,56,,PROKKA_22163_CDS___ribosomal protein L27_BROSI_A1261_
PROKKA_22164,CDS,,,ribosomal protein L21,BROSI_A1260,,74,105,10,38,,PROKKA_22164_CDS___ribosomal protein L21_BROSI_A1260_
PROKKA_22165,CDS,,,ribonuclease E,BROSI_A1259,,558,869,107,150,,PROKKA_22165_CDS___ribonuclease E_BROSI_A1259_
PROKKA_22166,CDS,,,hypothetical protein,,,299,495,24,110,,PROKKA_22166_CDS___hypothetical protein__
PROKKA_22167,CDS,,,phosphoenolpyruvate-protein phosphotransferase,BROSI_A1257,,926,1536,152,202,,PROKKA_22167_CDS___phosphoenolpyruvate-protein phosphotransferase_BROSI_A1257_
PROKKA_22168,CDS,,,phosphotransferase system mannitol/fructose-specific IIA domain,BROSI_A1256,,171,325,19,64,,PROKKA_22168_CDS___phosphotransferase system mannitol/fructose-specific IIA domain_BROSI_A1256_
PROKKA_22169,CDS,,,sigma-54 modulation protein,BROSI_A1255,,63,99,6,21,,PROKKA_22169_CDS___sigma-54 modulation protein_BROSI_A1255_
PROKKA_22170,CDS,,,hemerythrin-like metal-binding protein,BROSI_A1273,,158,229,18,28,,PROKKA_22170_CDS___hemerythrin-like metal-binding protein_BROSI_A1273_
PROKKA_22171,CDS,,,flavodoxin/nitric oxide synthase,BROSI_A1630,,1035,1673,94,116,,PROKKA_22171_CDS___flavodoxin/nitric oxide synthase_BROSI_A1630_
PROKKA_22172,CDS,,,3-isopropylmalate dehydratase small subunit,BROSI_A1629,,390,685,85,132,,PROKKA_22172_CDS___3-isopropylmalate dehydratase small subunit_BROSI_A1629_
PROKKA_22173,CDS,,,(R)-2-hydroxyglutaryl-CoA dehydratase activator-related protein,BROSI_A1628,,5011,9265,1119,1158,,PROKKA_22173_CDS___(R)-2-hydroxyglutaryl-CoA dehydratase activator-related protein_BROSI_A1628_
